groupsize,protocol,operation,clientrole,setuptime,operationtime
64,FULL,remove,RECIPIENT,15.13692,13.699803
64,FULL,remove,RECIPIENT,14.808801,14.835295
64,FULL,remove,RECIPIENT,16.14904,13.596052
64,FULL,remove,RECIPIENT,15.381743,13.671671
64,FULL,remove,RECIPIENT,16.011533,14.955414
64,FULL,remove,RECIPIENT,14.650563,14.366893
64,FULL,remove,RECIPIENT,15.659806,14.630022
64,FULL,remove,RECIPIENT,15.126601,14.927391
64,FULL,remove,RECIPIENT,14.970614,14.533599
64,FULL,remove,RECIPIENT,15.106609,15.07573
32,FULL,remove,SENDER,6.622932,6.234694
32,FULL,remove,RECIPIENT,7.292275,0.613543
32,FULL,remove,RECIPIENT,7.662006,6.424232
32,FULL,remove,RECIPIENT,7.93967,6.598851
32,FULL,remove,RECIPIENT,7.217256,6.331652
32,FULL,remove,RECIPIENT,7.07139,6.512041
32,FULL,remove,RECIPIENT,7.55762,6.574972
32,FULL,remove,RECIPIENT,7.098983,6.487651
32,FULL,remove,RECIPIENT,7.360525,6.365502
32,FULL,remove,RECIPIENT,7.739526,6.386003
32,FULL,remove,RECIPIENT,7.789947,6.390541
32,FULL,remove,RECIPIENT,7.090005,6.641069
32,FULL,remove,RECIPIENT,7.192001,7.46859
32,FULL,remove,RECIPIENT,7.891219,6.57091
32,FULL,remove,RECIPIENT,7.20228,6.826611
32,FULL,remove,RECIPIENT,8.261466,6.860712
32,FULL,remove,RECIPIENT,6.962829,6.692382
32,FULL,remove,RECIPIENT,7.406092,6.559947
32,FULL,remove,RECIPIENT,7.182698,6.502593
32,FULL,remove,RECIPIENT,7.889908,6.423631
32,FULL,remove,RECIPIENT,7.573539,6.373542
32,FULL,remove,RECIPIENT,8.243591,6.446881
32,FULL,remove,RECIPIENT,7.08171,6.622402
32,FULL,remove,RECIPIENT,7.069332,6.344692
32,FULL,remove,RECIPIENT,7.084542,6.634352
32,FULL,remove,RECIPIENT,7.232802,6.651871
32,FULL,remove,RECIPIENT,7.741274,6.449371
32,FULL,remove,RECIPIENT,7.347352,6.476096
32,FULL,remove,RECIPIENT,7.27635,6.599411
32,FULL,remove,RECIPIENT,7.33665,6.355932
32,FULL,remove,RECIPIENT,7.326176,6.588342
32,FULL,remove,RECIPIENT,7.600861,6.65624
128,FULL,add,SENDER,29.18088,34.176207
128,FULL,add,RECIPIENT,29.911877,30.728967
128,FULL,add,RECIPIENT,29.556849,32.550997
128,FULL,add,RECIPIENT,29.62428,33.282486
128,FULL,add,RECIPIENT,29.604887,32.54657
128,FULL,add,RECIPIENT,29.062582,33.238749
128,FULL,add,RECIPIENT,31.346849,30.98343
128,FULL,add,RECIPIENT,29.532879,32.115663
128,FULL,add,RECIPIENT,28.547813,31.057512
128,FULL,add,RECIPIENT,30.284897,33.707638
128,FULL,add,RECIPIENT,30.385282,31.392079
128,FULL,add,RECIPIENT,30.225025,32.377129
128,FULL,add,RECIPIENT,29.684995,33.314907
128,FULL,add,RECIPIENT,31.343389,32.12125
128,FULL,add,RECIPIENT,29.372104,30.800011
128,FULL,add,RECIPIENT,31.819934,32.121038
128,FULL,add,RECIPIENT,29.279661,31.58698
128,FULL,add,RECIPIENT,30.334329,33.898778
128,FULL,add,RECIPIENT,29.952116,30.627221
128,FULL,add,RECIPIENT,32.330439,32.95689
128,FULL,add,RECIPIENT,30.063854,31.447169
128,FULL,add,RECIPIENT,28.916114,33.429666
128,FULL,add,RECIPIENT,34.05885,32.629605
128,FULL,add,RECIPIENT,29.358374,34.008426
128,FULL,add,RECIPIENT,29.563144,33.495791
128,FULL,add,RECIPIENT,29.259065,32.512157
128,FULL,add,RECIPIENT,30.356694,34.121807
128,FULL,add,RECIPIENT,29.573982,32.812309
128,FULL,add,RECIPIENT,29.543632,32.387171
128,FULL,add,RECIPIENT,30.736192,32.64974
128,FULL,add,RECIPIENT,28.84519,32.033032
128,FULL,add,RECIPIENT,28.824561,30.965305
128,FULL,add,RECIPIENT,28.585409,33.112428
128,FULL,add,RECIPIENT,30.884633,35.051019
128,FULL,add,RECIPIENT,29.172297,30.71465
128,FULL,add,RECIPIENT,30.198612,34.19919
128,FULL,add,RECIPIENT,29.316394,31.627683
128,FULL,add,RECIPIENT,29.441408,32.125817
128,FULL,add,RECIPIENT,30.042133,34.434308
128,FULL,add,RECIPIENT,28.639794,31.037402
128,FULL,add,RECIPIENT,31.926398,32.145191
128,FULL,add,RECIPIENT,30.408074,32.434821
128,FULL,add,RECIPIENT,28.691718,33.036222
128,FULL,add,RECIPIENT,28.925256,32.6916
128,FULL,add,RECIPIENT,29.534422,33.738937
128,FULL,add,RECIPIENT,35.78283,32.526132
128,FULL,add,RECIPIENT,28.997026,31.265852
128,FULL,add,RECIPIENT,30.731033,31.255031
128,FULL,add,RECIPIENT,30.543501,31.644096
128,FULL,add,RECIPIENT,31.918445,36.215517
128,FULL,add,RECIPIENT,30.01957,34.010107
128,FULL,add,RECIPIENT,32.103581,34.738516
128,FULL,add,RECIPIENT,29.99377,34.255655
128,FULL,add,RECIPIENT,31.46388,33.459026
128,FULL,add,RECIPIENT,28.968587,32.907168
128,FULL,add,RECIPIENT,29.518346,31.569118
128,FULL,add,RECIPIENT,37.030727,31.948487
128,FULL,add,RECIPIENT,30.12244,33.456188
128,FULL,add,RECIPIENT,28.747694,32.171144
128,FULL,add,RECIPIENT,29.740803,34.321432
128,FULL,add,RECIPIENT,29.266002,32.284262
